ticker,period_ending,ttm_ebitda,ttm_ebit,ttm_revenue,ttm_roe,ttm_roa,ttm_dividend,ttm_basic_eps_per_share,ttm_diluted_eps_per_share,q_ebitda,q_ebit,q_revenue,q_roe,q_roa,q_dividend,q_basic_eps_per_share,q_diluted_eps_per_share,assets,debt,equity,debt_to_equity,shares_outstanding,bv_per_share
TSLA,3/31/2018,-270077,-1945711,12471232,-0.442,-0.046,,-0.93,-0.93,-180741,-596974,3408751,-0.553,-0.053,,-0.28,-0.28,27271429,12570342,5720406,2.2,2546250000,1.75
TSLA,6/30/2018,-464335,-2222753,13683906,-0.501,-0.052,,-1.08,-1.08,-46003,-517958,4002231,-0.541,-0.047,,-0.28,-0.28,27910000,13412247,5267113,2.55,2557740000,1.53
TSLA,9/30/2018,616265,-1244341,17523249,-0.34,-0.027,,-0.7,-0.7,945812,443000,6824000,0.183,0.039,,0.12,0.12,29262713,13564186,5853569,2.32,2573670000,1.75
TSLA,12/31/2018,1635000,-253000,21461000,-0.178,-0.005,,-0.38,-0.38,916000,419000,7226000,0.138,0.036,,0.05,0.05,29740000,13828000,6313000,2.19,2589045000,1.9
TSLA,3/31/2019,1805741,-134026,22593249,-0.161,-0.003,,-0.38,-0.38,-10000,-478000,4541000,-0.433,-0.041,,-0.27,-0.27,28912524,12748475,6037906,2.11,2605230000,1.77
TSLA,6/30/2019,2318744,333932,24941018,-0.095,0.007,,-0.26,-0.26,467000,-50000,6350000,-0.236,-0.004,,-0.15,-0.15,31872597,14320924,7150461,2,2686770000,2.13
TSLA,9/30/2019,2164000,152000,24420000,-0.105,0.003,,-0.32,-0.32,791000,261000,6303000,0.082,0.02,,0.05,0.05,32795000,14636000,7482000,1.96,2700000000,2.24
TSLA,12/31/2019,2172000,80000,24578000,-0.107,0.002,,-0.33,-0.33,924000,347000,7384000,0.068,0.026,,0.04,0.04,34309000,14576000,8110000,1.8,2715000000,2.44
TSLA,3/31/2020,3018000,841000,26022000,-0.005,0.016,,-0.05,-0.05,836000,283000,5985000,0.029,0.02,,0.01,0.01,37250000,15200000,10672000,1.42,2775000000,3.31
TSLA,6/30/2020,3445000,1218000,25708000,0.052,0.022,,0.14,0.13,894000,327000,6036000,0.047,0.022,,0.04,0.03,38135000,15477000,11337000,1.37,2790000000,3.53
TSLA,9/30/2020,4004000,1723000,28176000,0.056,0.027,,0.19,0.17,1350000,766000,8771000,0.102,0.046,,0.11,0.09,45691000,15163000,17500000,0.87,2844000000,5.64
TSLA,12/31/2020,4273000,1951000,31536000,0.054,0.028,,0.25,0.21,1193000,575000,10744000,0.058,0.029,,0.1,0.08,52148000,13337000,23679000,0.56,2880000000,7.72
TSLA,3/31/2021,4551000,2161000,35940000,0.072,0.03,,0.39,0.33,1114000,493000,10389000,0.077,0.023,,0.15,0.13,52972000,12511000,24465000,0.51,2889000000,7.97
TSLA,6/30/2021,5751000,3247000,41862000,0.123,0.044,,0.75,0.63,1993000,1312000,11958000,0.186,0.061,,0.39,0.34,55146000,11170000,26250000,0.43,2952000000,8.4
TSLA,9/30/2021,7166000,4485000,46848000,0.156,0.054,,1.19,1.02,2765000,2004000,13757000,0.242,0.089,,0.54,0.48,57834000,10158000,28494000,0.36,3012000000,8.98
TSLA,12/31/2021,9434000,6523000,53823000,0.204,0.071,,1.87,1.63,3461000,2613000,17719000,0.312,0.109,,0.76,0.68,62131000,8873000,31583000,0.28,3099000000,9.74
TSLA,3/31/2022,12803000,9633000,62190000,0.283,0.101,,2.79,2.46,4483000,3603000,18756000,0.392,0.141,,1.07,0.95,66038000,7025000,35406000,0.2,3108000000,10.97
TSLA,6/30/2022,14131000,10720000,67166000,0.299,0.108,,3.11,2.77,3422000,2500000,16934000,0.248,0.093,,0.73,0.65,68513000,6665000,37658000,0.18,3123000000,11.65
TSLA,9/30/2022,16010000,12404000,74863000,0.322,0.117,,3.61,3.25,4644000,3688000,21454000,0.338,0.129,,1.05,0.95,74426000,5874000,41124000,0.14,3158000000,12.62
TSLA,12/31/2022,17439000,13692000,81462000,0.325,0.118,,4.02,3.62,4890000,3901000,24318000,0.341,0.124,,1.18,1.07,82338000,5748000,45898000,0.13,3164000000,14.13
TSLA,3/31/2023,16666000,12753000,86035000,0.28,0.104,,3.75,3.4,3710000,2664000,23329000,0.214,0.079,,0.8,0.73,86833000,5574000,49235000,0.11,3169000000,15.16
TSLA,6/30/2023,16797000,12652000,94028000,0.271,0.099,,3.87,3.52,3553000,2399000,24927000,0.206,0.068,,0.85,0.78,90591000,5811000,52182000,0.11,3174000000,16.11
F,3/31/2018,15012000,6625000,159589000,0.235,0.016,0.6,1.98,1.96,3717250,1604000,41959000,0.193,0.015,0.15,0.44,0.43,267230000,158334000,36534000,4.33,4069000000,9.13
F,6/30/2018,14830000,6509000,158656000,0.201,0.016,0.6,1.74,1.72,3154250,1041000,38920000,0.117,0.01,0.15,0.27,0.27,258079000,152843000,36568000,4.18,4070000000,9.14
F,9/30/2018,13794250,5575000,159871000,0.181,0.014,0.6,1.59,1.58,3413331,1312000,37666000,0.108,0.013,0.15,0.25,0.25,258966000,153431000,36718000,4.18,3980000000,9.2
F,12/31/2018,13467000,5054000,160338000,0.103,0.012,0.6,0.93,0.92,3193000,1084000,41793000,-0.012,0.011,0.15,-0.03,-0.03,256540000,154213000,36066000,4.28,4071000000,8.83
F,3/31/2019,13371750,4930000,158721000,0.086,0.012,0.6,0.78,0.78,3622000,1480000,40342000,0.13,0.014,0.15,0.29,0.29,263281000,158520000,36569000,4.34,3989545901,9.12
F,6/30/2019,12682500,4095000,158654000,0.061,0.01,0.6,0.55,0.54,2478000,219000,38853000,0.017,0.002,0.15,0.04,0.04,262184000,157404000,36136000,4.36,3989843301,9.05
F,9/30/2019,13995000,5467000,157978000,0.046,0.013,0.6,0.4,0.4,3084000,1066000,36990000,0.047,0.01,0.15,0.11,0.11,258157000,155378000,35387000,4.39,3964896995,8.92
F,12/31/2019,8603000,113000,155900000,0.002,0,0.6,0.01,0.01,346000,-1725000,39715000,-0.195,-0.017,0.15,-0.42,-0.42,258537000,156721000,33230000,4.72,3964930325,8.37
F,3/31/2020,8750000,260000,149878000,-0.093,0.001,0.6,-0.78,-0.78,1224000,-918000,34320000,-0.253,-0.009,0.15,-0.5,-0.5,264150000,168693000,29698000,5.68,3977039943,7.46
F,6/30/2020,6317000,-1984000,130396000,-0.063,-0.005,0.45,-0.54,-0.54,5000,-2065000,19371000,0.148,-0.019,,0.28,0.28,269366000,176483000,30855000,5.72,3978388996,7.75
F,9/30/2020,4325000,-3478000,130907000,-0.005,-0.008,0.3,-0.04,-0.04,3875000,2355000,37501000,0.299,0.022,,0.6,0.6,259943000,158561000,33161000,4.78,3978427360,8.33
F,12/31/2020,3197000,-4115000,127144000,-0.04,-0.01,0.15,-0.32,-0.32,-668000,-2248000,35952000,-0.349,-0.021,,-0.7,-0.7,267261000,162998000,30811000,5.29,3978695017,7.71
F,3/31/2021,6910000,-2000,129052000,0.125,,,1,0.99,4823000,3081000,36228000,0.403,0.029,,0.82,0.81,260819000,153966000,33974000,4.53,3991644459,8.48
F,6/30/2021,8527000,2503000,136433000,0.104,0.006,,0.86,0.86,1684000,502000,26752000,0.064,0.005,,0.14,0.14,248532000,148226000,34784000,4.26,3994764392,8.68
F,9/30/2021,9861000,3837000,134615000,0.081,0.009,,0.72,0.71,3494000,1974000,35683000,0.204,0.02,,0.46,0.45,252677000,145873000,36704000,3.97,3996241503,9.16
F,12/31/2021,16158000,10520000,136341000,0.451,0.025,0.1,4.49,4.45,5629000,4435000,37678000,1.151,0.044,0.1,3.07,3.04,257035000,139485000,48622000,2.87,4004247552,12.12
F,3/31/2022,14690000,9247000,134589000,0.292,0.023,0.2,2.89,2.87,3355000,1808000,34476000,-0.266,0.018,0.1,-0.78,-0.78,252986000,135601000,45084000,3.01,4019765355,11.19
F,6/30/2022,17965000,12085000,148027000,0.294,0.031,0.3,2.91,2.9,4937000,3318000,40190000,0.057,0.033,0.1,0.17,0.16,245755000,130234000,44237000,2.94,4138000000,10.99
F,9/30/2022,16597000,10610000,151736000,0.225,0.027,0.45,2.25,2.24,2676000,1049000,39392000,-0.086,0.011,0.15,-0.21,-0.21,246919000,129765000,42089000,3.08,4020494099,10.48
F,12/31/2022,14139000,7663000,158057000,-0.047,0.019,0.5,-0.49,-0.49,3154000,1471000,43999000,0.118,0.015,0.15,0.32,0.32,255884000,140474000,43167000,3.25,3986171738,10.85
F,3/31/2023,14271000,7717000,165055000,0.06,0.019,0.55,0.72,0.72,3487000,1862000,41474000,0.156,0.018,0.15,0.44,0.44,256800000,139292000,42197000,3.3,4000770326,10.59
F,6/30/2023,13852000,7321000,169819000,0.091,0.018,0.6,1.03,1.03,4173000,2577000,44954000,0.188,0.025,0.15,0.48,0.47,265991000,144850000,43606000,3.32,4002225602,10.91
GM,3/31/2018,13056000,9683000,144421000,-0.031,0.027,1.52,-3.79,-3.79,3274000,1977000,36099000,0.124,0.023,0.38,0.73,0.72,218726000,98818000,35458000,2.79,1400000000,24.5
GM,6/30/2018,13830000,9119000,144197000,-0.031,0.025,1.52,-3.34,-3.35,3337000,2138000,36760000,0.255,0.024,0.38,1.68,1.66,218641000,98259000,38636000,2.54,1400000000,25.84
GM,9/30/2018,14775000,9500000,146365000,0.026,0.026,1.52,0.53,0.52,4397000,2503000,35791000,0.254,0.028,0.38,1.77,1.75,225711000,102340000,40908000,2.5,1400000000,27.19
GM,12/31/2018,11468000,6293000,147049000,0.204,0.018,1.52,5.61,5.53,2121000,1336000,38399000,0.198,0.015,0.38,1.42,1.4,227339000,104951000,42777000,2.45,1400000000,27.76
GM,3/31/2019,13492000,7402000,145828000,0.227,0.02,1.52,6.37,6.29,3720000,1508000,34878000,0.196,0.016,0.38,1.5,1.48,233132000,108586000,44638000,2.43,1400000000,29.12
GM,6/30/2019,14332000,7896000,145128000,0.213,0.022,1.52,6.36,6.28,4245000,2700000,36060000,0.21,0.029,0.38,1.68,1.66,233737000,107994000,47089000,2.29,1400000000,30.58
GM,9/30/2019,14290000,8265000,144810000,0.199,0.023,1.52,6.21,6.14,4218000,2735000,35473000,0.193,0.029,0.38,1.62,1.6,231529000,106093000,48771000,2.18,1400000000,31.82
GM,12/31/2019,12771000,6444000,137237000,0.15,0.018,1.52,4.62,4.57,1077000,-10000,30826000,-0.016,0,0.38,-0.16,-0.17,228037000,104573000,45957000,2.28,1400000000,29.85
GM,3/31/2020,12427000,6920000,135068000,0.108,0.018,1.52,3.3,3.26,2901000,1509000,32709000,0.025,0.016,0.38,0.17,0.17,246624000,128759000,44317000,2.91,1400000000,28.65
GM,6/30/2020,8851000,3577000,115786000,0.036,0.009,1.14,1.06,1.06,476000,-836000,16778000,-0.071,-0.009,,-0.56,-0.56,237535000,128258000,43493000,2.95,1400000000,28.07
GM,9/30/2020,10806000,5623000,115793000,0.069,0.015,0.76,2.25,2.23,6260000,4868000,35480000,0.351,0.051,,2.8,2.78,239671000,118579000,48008000,2.47,1400000000,30.96
GM,12/31/2020,13653000,8559000,122485000,0.132,0.023,0.38,4.36,4.33,3924000,2926000,37518000,0.229,0.031,,1.95,1.92,235194000,111072000,49677000,2.24,1400000000,32.16
GM,3/31/2021,15928000,10864000,122250000,0.183,0.028,,6.25,6.2,5176000,3814000,32474000,0.232,0.04,,2.06,2.03,238411000,112192000,54443000,2.06,1400000000,34.53
GM,6/30/2021,20226000,15025000,139639000,0.249,0.039,,8.72,8.61,4866000,3417000,34167000,0.198,0.036,,1.92,1.9,241803000,111867000,57876000,1.93,1500000000,34.45
GM,9/30/2021,17738000,12387000,130938000,0.203,0.032,,7.56,7.47,3724000,2182000,26779000,0.161,0.023,,1.64,1.62,238557000,109928000,60321000,1.82,1500000000,36.1
GM,12/31/2021,16894000,11434000,127004000,0.172,0.03,,6.78,6.7,3080000,1973000,33584000,0.112,0.02,,1.17,1.15,244718000,110595000,65815000,1.68,1500000000,39.83
GM,3/31/2022,16012000,10246000,130509000,0.16,0.026,,6.09,6.02,4294000,2626000,35979000,0.169,0.026,,1.36,1.35,251492000,110951000,67063000,1.65,1500000000,41.4
GM,6/30/2022,16429000,10471000,132101000,0.136,0.026,,5.31,5.26,4183000,2542000,35759000,0.097,0.025,,1.14,1.14,253517000,112106000,68375000,1.64,1500000000,42.64
GM,9/30/2022,18040000,12052000,147210000,0.146,0.03,0.09,5.93,5.89,5383000,3811000,41888000,0.188,0.037,0.09,2.26,2.25,260529000,115439000,69767000,1.66,1400000000,46.62
GM,12/31/2022,17824000,11999000,156735000,0.141,0.029,0.18,6.17,6.13,2891000,1947000,43108000,0.113,0.019,0.09,1.4,1.4,264037000,115913000,72284000,1.6,1400000000,48.42
GM,3/31/2023,17766000,12038000,160741000,0.131,0.029,0.27,6.5,6.47,4236000,2665000,39985000,0.128,0.025,0.09,1.7,1.69,267004000,116831000,74232000,1.57,1400000000,49.91
GM,6/30/2023,17057000,11271000,169729000,0.14,0.027,0.36,7.21,7.17,4574000,2875000,44747000,0.134,0.026,0.09,1.83,1.83,275833000,120921000,75972000,1.59,1400000000,51.18
